iter	RMSE
359	0.5102340884
360	0.5096421938
361	0.5091776612
362	0.5085578024
363	0.5079939545
364	0.507657778
365	0.507378342
366	0.5072819392
367	0.506619657
368	0.5062525992
369	0.5059922169
370	0.5055159106
371	0.504816779
372	0.5044342759
373	0.5038409742
374	0.503431331
375	0.5028336293
376	0.5028039657
377	0.5026031188
378	0.5021176843
379	0.5016844534
380	0.5013471234
381	0.5006607043
382	0.5003603058
383	0.5001012438
384	0.49958068
385	0.4989393447
386	0.4983690892
387	0.4980827886
388	0.4975840506
389	0.4972226614
390	0.4968297861
391	0.496626795
392	0.4960561212
393	0.4954780721
394	0.4950178771
395	0.4947564178
396	0.4945578846
397	0.4942659292
398	0.4938489422
399	0.4937052334
400	0.4929067186
401	0.4925326125
402	0.4921149717
403	0.4916135038
404	0.49119677
405	0.4908474473
406	0.4905296405
407	0.4902409566
408	0.4899292149
409	0.4895085439
410	0.4885672464
411	0.4880541705
412	0.4876284409
413	0.4872222281
414	0.4869440054
415	0.4865833276
416	0.4863772672
417	0.4856306321
418	0.4852530562
419	0.4846565121
420	0.4843736144
421	0.4842992872
422	0.483875961
423	0.483535905
424	0.4830768725
425	0.4823729201
426	0.4821053218
427	0.481773842
428	0.4809669598
429	0.4806108779
430	0.4801608524
431	0.4799125933
432	0.4793346539
433	0.4791913123
434	0.4789808732
435	0.4785180765
436	0.478119062
437	0.477753539
438	0.4773875872
439	0.4767836699
440	0.4765298208
441	0.4760729952
442	0.4755047525
443	0.4752815986
444	0.4745576181
445	0.4743546084
446	0.4734683839
447	0.473145649
448	0.4726046863
449	0.4720603057
450	0.4715249224
451	0.4710539612
452	0.4707740043
453	0.4706073502
454	0.4702076119
455	0.4697478766
456	0.4693570182
457	0.4689071984
458	0.4683080937
459	0.4676506046
460	0.4672362012
461	0.4665561697
462	0.4660940007
463	0.465752408
464	0.4652919855
465	0.4649701237
466	0.4646583615
467	0.4642754626
468	0.4638372878
469	0.4635069709
470	0.4630503625
471	0.4624987845
472	0.4621432679
473	0.4613929365
474	0.4611024898
475	0.4604767542
476	0.4601829554
477	0.4599255934
478	0.4596205941
479	0.4590583526
480	0.4585735922
481	0.4582619996
482	0.457972188
483	0.4574812232
484	0.457041006
485	0.4566183019
486	0.4564372222
487	0.4558406737
488	0.4554158844
489	0.4548299848
490	0.4544484262
491	0.4542071521
492	0.4535128207
493	0.4534131419
494	0.4525028084
495	0.4523134943
496	0.4520296454
497	0.4515595074
498	0.4511560615
499	0.4508420558
500	0.4503273696
501	0.4500334472
502	0.4498750159
503	0.4493631663
504	0.4490136617
505	0.4487359656
506	0.4481731627
507	0.4478631446
508	0.4476055157
509	0.4473534024
510	0.4470634722
511	0.4467408253
512	0.4466305158
513	0.446583682
514	0.4462712433
515	0.4459033671
516	0.4458498621
517	0.4455406193
518	0.4450552285
519	0.4448549668
520	0.4445802408
521	0.4441758988
522	0.4437510112
523	0.4433362163
524	0.4431645004
525	0.443046863
526	0.4428412737
527	0.4422804309
528	0.4421330478
529	0.4417393227
530	0.4412801023
531	0.4404150348
532	0.4400994645
533	0.4394670721
534	0.4392164351
535	0.4385966265
536	0.4382027366
537	0.4378851231
538	0.4375582981
539	0.4371538033
540	0.4368867628
541	0.4364231451
542	0.4362947785
543	0.4360523698
544	0.4358582911
545	0.4355646419
546	0.4349895471
547	0.4346494102
548	0.4344799554
549	0.4338480282
550	0.4334483494
551	0.433192948
552	0.4330433682
553	0.4328413762
554	0.4324008667
555	0.4320520421
556	0.4316516871
557	0.4313984501
558	0.4308241528
559	0.4304118984
560	0.4300878526
561	0.4297075032
562	0.4294148458
563	0.4293752199
564	0.4291854548
565	0.4287277883
566	0.4283748941
567	0.4282319017
568	0.4278432234
569	0.427538433
570	0.4270304339
571	0.4268113827
572	0.4263142457
573	0.426039679
574	0.4256724041
575	0.4254628975
576	0.4251900569
577	0.4249480871
578	0.4247801997
579	0.4243222261
580	0.4240486795
581	0.4236226458
582	0.4231796273
583	0.4228934152
584	0.4226196173
585	0.4223400373
586	0.4218447475
587	0.4215689954
588	0.4209344572
589	0.4204775815
590	0.4201215643
591	0.4195424888
592	0.4190459396
593	0.4188202542
594	0.4186191713
595	0.4184321969
596	0.4180393467
597	0.4176894687
598	0.4176656718
599	0.4172948466
600	0.4170232082
601	0.41654532
602	0.4161984557
603	0.4156683401
604	0.4153143611
605	0.4150486966
606	0.4147412217
607	0.4140300246
608	0.4137176637
609	0.4135476449
610	0.4133809147
611	0.413239881
612	0.4128588663
613	0.4126499488
614	0.4122400877
615	0.4120283743
616	0.4118912448
617	0.4118310712
618	0.4113601718
619	0.4111215405
620	0.4108510547
621	0.4105012771
622	0.4101898504
623	0.4100527432
624	0.4094800293
625	0.4094699217
626	0.4090342437
627	0.4088375231
628	0.4086505698
629	0.4082153731
630	0.4077931121
631	0.4076027671
632	0.4071743726
633	0.407154589
634	0.4067218972
635	0.4063951693
636	0.4060890241
637	0.4059339797
638	0.4057216546
639	0.4053372923
640	0.4050799695
641	0.4050422133
642	0.4049142247
643	0.4046290768
644	0.4044764869
645	0.4042088219
646	0.4039034304
647	0.4036787088
648	0.4034720912
649	0.4031187228
650	0.40289079
651	0.4025126733
652	0.4022785928
653	0.4019953328
654	0.401645111
655	0.4011894579
656	0.4010169381
657	0.4005874502
658	0.4005701005
659	0.4002290047
660	0.400044549
661	0.3997712799
662	0.399222497
663	0.3990899527
664	0.3986238574
665	0.3984706475
666	0.3982689231
667	0.3980096082
668	0.3974452024
669	0.3969912439
670	0.3968318035
671	0.3963010609
672	0.3959853617
673	0.3957293891
674	0.3953224542
675	0.3949824096
676	0.3945897883
677	0.3944334209
678	0.3944111766
679	0.3940634712
680	0.3938853255
681	0.393360846
682	0.3931892025
683	0.3927575686
684	0.3927021741
685	0.3922991423
686	0.3920590033
687	0.3917664429
688	0.3915520923
689	0.3914172478
690	0.3911289712
691	0.3908882902
692	0.3905909659
693	0.3904017205
694	0.3899603668
695	0.3897782489
696	0.3894664485
697	0.3890433476
698	0.3887172238
699	0.388327539
700	0.3878762241
701	0.3875980508
702	0.3867363354
703	0.3864566151
704	0.3861070113
705	0.3858013713
706	0.3853820887
707	0.3851477744
708	0.3846931774
709	0.3844582069
710	0.3842702802
711	0.3839904362
712	0.3837105135
713	0.3833864227
714	0.3829913314
715	0.3826225552
716	0.3823646856
717	0.3820929138
718	0.3817770573
719	0.3816960496
720	0.3814806809
721	0.3811047633
722	0.38063946
723	0.3802045116
724	0.3798752147
725	0.3795744159
726	0.3793106636
727	0.3791781181
728	0.3789149919
729	0.3786666972
730	0.378328929
731	0.3779722513
732	0.3775971226
733	0.3775227661
734	0.3772223577
735	0.3769713192
736	0.3769428043
737	0.3767743422
738	0.3764888365
739	0.3762197381
740	0.3762109279
741	0.3759797448
742	0.3756879579
743	0.3755495033
744	0.3751253434
745	0.3747695775
746	0.3746101262
747	0.3745847336
748	0.3743428265
749	0.3743071354
750	0.3740283987
751	0.3736995885
752	0.3731432631
753	0.3728506905
754	0.3726288847
755	0.3722495986
756	0.3719313888
757	0.3715643797
758	0.3714034852
759	0.3713581013
760	0.3713369844
761	0.371026669
762	0.3707786984
763	0.3704703033
764	0.3700054851
765	0.3697603434
766	0.3693746202
767	0.3693061353
768	0.3690020287
769	0.3687580872
770	0.3686159721
771	0.3682876147
772	0.367944271
773	0.3678449783
774	0.3675217169
775	0.3672657599
776	0.3669283488
777	0.3666322778
778	0.3664354427
779	0.3661716844
780	0.3661212368
781	0.3659182943
782	0.3655757302
783	0.3655644492
784	0.3652229235
785	0.3649672677
786	0.3644688645
787	0.3643236191
788	0.3640373632
789	0.3638173706
790	0.363802977
791	0.3634820971
792	0.3633461827
793	0.3631039119
794	0.3628280577
795	0.3624843707
796	0.362008727
797	0.3620042767
798	0.3616553915
799	0.3616463165
